Data Size (rows),Cleaning Time (s),Classification Time (s),Accuracy
500,0.0210,1.0676,0.0267
1000,0.0090,1.7213,0.0067
1500,0.0110,2.7277,0.0067
2000,0.0150,3.8416,0.0083
2500,0.0200,5.0467,0.0040
3000,0.0250,6.7431,0.0056
3500,0.0180,9.8958,0.0038
4000,0.0340,13.2363,0.0017
4500,0.0230,16.0612,0.0044
5000,0.0320,18.8980,0.0007
5500,0.0240,16.1107,0.0018
6000,0.0320,20.5253,0.0017
6500,0.0290,22.7958,0.0046
7000,0.0210,26.6353,0.0048
7500,0.0220,32.8673,0.0013
8000,0.0280,36.5371,0.0025
8500,0.0250,39.8147,0.0008
9000,0.0350,50.6009,0.0011
9500,0.0450,51.0420,0.0004
10000,0.0260,64.6115,0.0007
10500,0.0620,84.5102,0.0006
11000,0.0330,88.4376,0.0005
11500,0.0450,91.3027,0.0004
12000,0.0390,97.6534,0.0004
12500,0.0580,104.8832,0.0003
13000,0.0400,112.7356,0.0003
13500,0.0520,122.0438,0.0003
14000,0.0440,131.2475,0.0003
14500,0.0510,141.3603,0.0002
15000,0.0600,153.5721,0.0002
