Data Size (rows),Cleaning Time (s),Classification Time (s),Accuracy
500,0.0020,1.1429,0.0267
1000,0.0020,1.6339,0.0100
1500,0.0030,2.4511,0.0089
2000,0.0070,3.7954,0.0033
2500,0.0050,5.3708,0.0027
3000,0.0060,6.3938,0.0067
3500,0.0070,8.4053,0.0029
4000,0.0130,13.1983,0.0017
4500,0.0090,14.3556,0.0037
5000,0.0090,16.3672,0.0033
5500,0.0150,19.6498,0.0018
6000,0.0120,21.2324,0.0017
6500,0.0140,24.0608,0.0010
7000,0.0110,27.0046,0.0024
7500,0.0120,31.7111,0.0018
8000,0.0120,37.0388,0.0017
8500,0.0160,48.0579,0.0000
9000,0.0260,44.4669,0.0015
9500,0.0210,53.5160,0.0014
10000,0.0240,65.4737,0.0013
10500,0.0310,76.9120,0.0003
11000,0.0360,79.4370,0.0006
11500,0.0380,82.1235,0.0005
12000,0.0410,95.6812,0.0007
12500,0.0430,109.4321,0.0008
13000,0.0450,123.5613,0.0011
13500,0.0480,138.4720,0.0004
14000,0.0500,153.0978,0.0009
14500,0.0530,168.4367,0.0010
15000,0.0550,184.3891,0.0002
