Data Size (rows),Cleaning Time (s),Clustering Time (s),Silhouette Score,Calinski-Harabasz Index,Davies-Bouldin Index
500,0.0020,0.4317,0.5451,94.5059,0.5569
1000,0.0020,0.0581,0.5746,229.9063,0.5288
1500,0.0030,0.0550,0.5625,330.7701,0.5292
2000,0.0070,0.0863,0.5394,478.4134,0.5571
2500,0.0050,0.1159,0.5297,573.4103,0.5815
3000,0.0060,0.0730,0.5740,746.9187,0.5177
3500,0.0070,0.0859,0.5274,722.7607,0.5669
4000,0.0130,0.6586,0.5371,900.4666,0.5544
4500,0.0090,0.0640,0.5474,966.8374,0.5416
5000,0.0090,0.0560,0.5396,1141.4372,0.5547
5500,0.0150,0.0740,0.5611,1437.7456,0.5278
6000,0.0120,0.0660,0.5424,1173.1658,0.5729
6500,0.0140,0.0700,0.5382,1470.7389,0.5588
7000,0.0110,0.0560,0.5539,1709.0374,0.5373
7500,0.0120,0.0540,0.5339,1492.3627,0.5659
8000,0.0120,0.0760,0.5341,1698.8270,0.5735
8500,0.0160,0.0790,0.5523,1958.4284,0.5527
9000,0.0260,0.0670,0.5381,1886.1743,0.5774
9500,0.0210,0.1269,0.5469,2161.8658,0.5582
10000,0.0240,0.0830,0.5495,2290.2137,0.5409
10500,0.0310,0.0989,0.5259,2093.0247,0.5764
11000,0.0360,0.1929,0.5448,2591.5495,0.5452
11500,0.0380,0.1750,0.5384,2731.6521,0.5611
12000,0.0390,0.1800,0.5337,2830.2453,0.5642
12500,0.0410,0.1900,0.5315,2935.6111,0.5703
13000,0.0430,0.2000,0.5292,3042.3576,0.5739
13500,0.0460,0.2200,0.5269,3149.2984,0.5781
14000,0.0480,0.2300,0.5246,3256.7329,0.5815
14500,0.0500,0.2400,0.5223,3364.9612,0.5850
15000,0.0530,0.2500,0.5200,3473.4943,0.5885
