Data Size (rows),Cleaning Time (s),Classification Time (s),Accuracy
500,0.0030,1.4679,0.0533
1000,0.0040,2.0444,0.0067
1500,0.0060,2.4413,0.0067
2000,0.0040,3.8576,0.0133
2500,0.0050,4.6731,0.0053
3000,0.0070,6.6310,0.0044
3500,0.0090,9.8328,0.0038
4000,0.0070,12.8559,0.0042
4500,0.0070,15.4784,0.0037
5000,0.0070,19.7841,0.0020
5500,0.0080,18.8874,0.0006
6000,0.0110,23.5627,0.0017
6500,0.0150,22.0588,0.0005
7000,0.0100,29.4859,0.0029
7500,0.0110,34.0439,0.0022
8000,0.0100,34.8554,0.0004
8500,0.0110,39.2618,0.0012
9000,0.0190,45.3367,0.0019
9500,0.0140,48.9689,0.0014
10000,0.0130,64.5543,0.0010
10500,0.0140,57.9864,0.0022
11000,0.0140,69.7786,0.0009
11500,0.0150,76.2252,0.0009
12000,0.0150,91.3242,0.0006
12500,0.0190,112.2223,0.0008
13000,0.0150,118.0875,0.0013
13500,0.0170,125.6421,0.0010
14000,0.0180,133.8964,0.0009
14500,0.0200,140.4522,0.0012
15000,0.0210,153.7854,0.0011
